name;latitude;longitude;date;time
User 4;39.905603;116.385069;18/10/07;00:06:18
User 4;39.905615;116.384815;18/10/07;00:06:58
User 4;39.900693;116.386092;18/10/07;00:07:00
User 4;39.904537;116.385341;15/06/08;00:17:43
User 4;39.904472;116.385339;10/09/08;00:07:48
User 4;39.905101;116.385256;12/10/08;01:37:03
User 4;39.900902;116.385907;21/03/08;01:16:08
User 4;39.899991;116.385595;18/05/08;03:40:10
User 4;39.904908;116.385278;20/12/09;00:07:18
User 4;39.900703;116.385988;10/04/09;01:13:53
User 4;39.90086;116.385591;10/04/09;01:25:38
User 4;39.90072;116.386575;21/03/09;01:17:08
User 4;39.92618;116.337024;06/07/09;13:22:49
User 4;39.926175;116.33699;24/12/10;13:22:54
User 4;39.905662;116.384702;20/12/10;00:05:48
User 4;39.905308;116.385231;10/01/11;01:06:48
User 4;39.904362;116.385323;10/09/11;00:07:58
User 4;39.904191;116.385299;10/05/11;00:08:13
User 4;39.899321;116.386099;17/09/11;10:03:39
User 4;39.926128;116.337046;25/08/11;13:22:59
User 4;39.926116;116.337283;23/01/12;13:23:04
User 4;39.906184;116.206512;09/03/12;23:32:38
