name;latitude;longitude;date;time
User 3;39.90596;116.2063;04/08/07;10:14:33
User 3;39.907409;116.367726;04/08/07;10:14:34
User 3;39.905631;116.367895;04/08/07;10:14:24
User 3;39.899572;116.385684;13/07/08;03:40:45
User 3;39.89952;116.385658;16/05/08;03:40:50
User 3;39.899602;116.385616;14/09/08;03:40:35
User 3;39.905623;116.385002;10/06/08;00:16:13
User 3;39.907247;116.367799;13/03/08;10:14:09
User 3;39.907281;116.367803;16/07/08;10:14:14
User 3;39.90594;116.367922;06/03/08;10:13:19
User 3;39.906538;116.36794;16/03/08;10:13:34
User 3;39.906538;116.36794;16/03/08;10:13:34
User 3;39.898838;116.371395;11/03/09;10:09:29
User 3;39.906155;116.367916;14/04/09;10:13:24
User 3;39.907508;116.367718;06/05/09;10:14:39
User 3;39.907317;116.367803;19/02/09;10:14:24
User 3;39.907223;116.367799;17/02/09;10:14:04
User 3;39.899613;116.385725;4/3/09;03:40:40
User 3;39.899667;116.385597;20/02/10;03:40:30
User 3;39.898359;116.371449;18/03/10;10:09:34
User 3;39.906343;116.367924;08/03/10;10:13:29
User 3;39.907204;116.367796;14/05/10;10:13:59
User 3;39.907297;116.367804;07/03/10;10:14:19
User 3;39.899361;116.385946;02/03/11;10:02:59
User 3;39.899295;116.38597;18/03/11;10:03:14
User 3;39.899291;116.385999;14/07/11;10:03:24
User 3;39.905161;116.385234;10/05/11;01:26:58
User 3;39.905219;116.367814;03/05/11;10:13:09
User 3;39.904806;116.367547;13/01/12;10:13:04
User 3;39.907327;116.36775;08/03/12;10:14:29
User 3;39.907531;116.367709;17/03/12;10:14:44
