name;latitude;longitude;date;time
User 2;39.900812;116.385774;19/10/07;01:14:03
User 2;39.900921;116.385609;17/10/07;01:14:43
User 2;39.900866;116.38558;10/04/07;01:35:33
User 2;39.900943;116.385957;21/04/07;01:16:13
User 2;39.899289;116.385991;19/08/07;10:03:22
User 2;39.899321;116.386036;27/10/07;10:03:34
User 2;39.905241;116.385219;14/08/08;02:46:53
User 2;39.900895;116.385589;10/04/08;01:14:28
User 2;39.90092;116.385552;10/07/08;01:14:38
User 2;39.900866;116.385559;10/03/08;01:14:18
User 2;39.900931;116.385619;10/04/08;01:14:48
User 2;39.900878;116.385815;23/04/08;01:15:58
User 2;39.900941;116.385991;15/03/08;01:16:23
User 2;39.900881;116.386157;25/04/08;01:16:33
User 2;39.905241;116.385219;14/08/08;02:46:53
User 2;39.900895;116.385589;10/04/08;01:14:28
User 2;39.90092;116.385552;10/07/08;01:14:38
User 2;39.900866;116.385559;10/03/08;01:14:18
User 2;39.900931;116.385619;10/04/08;01:14:48
User 2;39.900878;116.385815;23/04/08;01:15:58
User 2;39.900941;116.385991;15/03/08;01:16:23
User 2;39.900881;116.386157;25/04/08;01:16:33
User 2;39.899934;116.38558;08/07/08;03:40:15
User 2;39.899294;116.386014;27/11/08;10:03:29
User 2;39.900891;116.385854;21/04/09;01:16:03
User 2;39.900915;116.385574;10/04/09;01:14:33
User 2;39.900936;116.38563;10/08/09;01:14:56
User 2;39.900947;116.385686;10/04/09;01:15:11
User 2;39.900925;116.385693;10/03/09;01:15:18
User 2;39.900742;116.386569;14/03/09;01:17:03
User 2;39.900812;116.386366;21/02/09;01:16:38
User 2;39.899289;116.385991;17/11/10;10:03:19
User 2;39.900639;116.386575;21/03/09;01:17:08
User 2;39.900639;116.386575;10/04/09;01:17:13
User 2;39.899759;116.385632;21/06/09;03:40:20
User 2;39.899712;116.385598;10/02/09;03:40:25
User 2;39.900878;116.385534;17/03/10;01:14:23
User 2;39.900942;116.385627;16/02/10;01:14:58
User 2;39.900947;116.385686;10/04/10;01:15:08
User 2;39.900941;116.385692;10/03/10;01:15:13
User 2;39.900849;116.385624;10/04/10;01:15:43
User 2;39.900958;116.385969;20/03/10;01:16:18
User 2;39.900817;116.386486;20/02/10;01:16:43
User 2;39.900049;116.385587;10/05/10;03:40:00
User 2;39.900002;116.385602;09/04/10;03:40:05
User 2;39.905543;116.385206;10/06/10;00:26:28
User 2;39.900709;116.385919;18/06/10;01:13:58
User 2;39.905631;116.384964;24/10/11;00:12:08
User 2;39.900946;116.38565;10/03/11;01:15:03
User 2;39.900883;116.385571;10/04/11;01:15:23
User 2;39.900864;116.385766;23/04/11;01:15:53
User 2;39.900775;116.386546;20/04/11;01:16:58
User 2;39.900862;116.386485;18/03/11;01:16:48
User 2;39.899313;116.385968;13/05/11;10:03:09
User 2;39.900936;116.38563;25/11/12;01:14:53
User 2;39.900875;116.38554;10/03/12;01:15:28
User 2;39.900838;116.385675;10/03/12;01:15:48
User 2;39.900941;116.386001;20/02/12;01:16:28
User 2;39.900836;116.386497;21/02/12;01:16:53
User 2;39.899351;116.385974;05/03/12;10:03:04
