Latitude;Longitude;Date;Time
39.97778333;116.3388;05/08/07;01:33:30
39.97653333;116.3371167;05/08/07;01:34:29
39.97636667;116.3368667;05/08/07;01:35:00
39.97646667;116.3369833;05/08/07;01:35:16
39.97636667;116.33675;05/08/07;01:36:41
39.97631667;116.3365;05/08/07;01:36:59
39.97693333;116.3372;05/08/07;01:37:12
39.9768;116.3392333;05/08/07;01:39:58
39.9768;116.3393833;05/08/07;01:40:07
39.97691667;116.3395667;05/08/07;01:40:26
39.97708333;116.3395667;05/08/07;01:40:42
39.97721667;116.3394667;05/08/07;01:40:59
39.97733333;116.3395333;05/08/07;01:42:05
39.97758333;116.3395333;05/08/07;01:42:30
39.97788333;116.3395167;05/08/07;01:42:57
39.978;116.3393333;05/08/07;01:43:17
39.97798333;116.33895;05/08/07;01:43:49
39.9782;116.33885;05/08/07;01:44:14
39.97843333;116.3388167;05/08/07;01:44:36
39.97861667;116.3387833;05/08/07;01:44:54
39.97891667;116.33875;05/08/07;01:45:22
39.97908333;116.3387333;05/08/07;01:45:35
39.97925;116.33875;05/08/07;01:45:49
39.9795;116.33875;05/08/07;01:46:10
39.9797;116.33875;05/08/07;01:46:29
39.9798;116.3385167;05/08/07;01:46:53
39.97986667;116.3382667;05/08/07;01:47:10
39.98006667;116.3382;05/08/07;01:47:25
39.98058333;116.3381833;05/08/07;01:48:05
39.98071667;116.33815;05/08/07;01:48:18
39.98095;116.33815;05/08/07;01:48:37
39.9812;116.3381167;05/08/07;01:48:59
39.98136667;116.3381;05/08/07;01:49:14
39.98158333;116.3381;05/08/07;01:49:33
39.9817;116.33795;05/08/07;01:49:48
39.98171667;116.3374667;05/08/07;01:50:26
39.9818;116.33735;05/08/07;01:50:37
39.98176667;116.3372167;05/08/07;02:17:08
39.98185;116.3374667;05/08/07;02:17:43
39.98185;116.3377333;05/08/07;02:17:59
39.98183333;116.33795;05/08/07;02:18:15
39.98181667;116.3382833;05/08/07;02:18:39
39.98183333;116.3386;05/08/07;02:19:05
39.98186667;116.3388167;05/08/07;02:19:24
39.98185;116.3391667;05/08/07;02:19:52
39.98188333;116.3394333;05/08/07;02:20:15
39.9819;116.3397167;05/08/07;02:20:34
39.98195;116.3401667;05/08/07;02:21:07
39.982;116.34045;05/08/07;02:21:27
39.98193333;116.3407333;05/08/07;02:21:47
39.98195;116.34105;05/08/07;02:22:05
39.98198333;116.3414667;05/08/07;02:22:34
39.98186667;116.3416167;05/08/07;02:22:46
39.98161667;116.3417;05/08/07;02:23:31
39.98133333;116.3417333;05/08/07;02:23:57
39.98095;116.3417333;05/08/07;02:24:28
39.9808;116.34175;05/08/07;02:24:41
39.9806;116.3417333;05/08/07;02:24:59
39.98045;116.3417833;05/08/07;02:25:16
